county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Scioto County, Ohio,2016,42.3,8.1,5.7,87.1,22.5,9.2,8.6,67.0,27.4,6.9,33.0,425,99.0,26.2,31.0,1.2,0.9,77366.0,0.2,0.0,0.4,39.7,5.5,23.6,(X),21805,54291,39210,1853,56768,23299,16219,8712,1.7,2.56,2.15,5.7,8.6,7.9,16.0,23.6,24.2,19.6,11836,8475,34126,2.1,1.4,71.3,2.9,4.0,2.1,1.9,0.2,14.0,2.56
Stark County, Ohio,2016,38.5,14.8,9.4,91.2,20.8,6.3,7.8,65.6,27.1,5.1,34.4,8108,97.6,25.9,32.6,1.9,0.7,374762.0,0.3,0.0,0.5,41.7,5.6,22.2,(X),27467,66163,50994,2464,66249,21373,19029,9793,1.2,2.48,2.22,6.0,11.6,7.8,14.1,25.4,25.8,15.2,68081,36559,165966,3.0,3.4,75.5,6.0,3.4,3.2,3.7,0.0,1.8,2.48
Summit County, Ohio,2016,31.5,20.1,11.2,91.5,19.2,5.8,9.4,62.3,24.3,4.3,37.7,28467,94.0,30.5,36.4,1.9,0.9,541372.0,0.5,0.1,0.5,40.8,5.7,22.5,(X),29999,70827,52036,3510,74536,23401,18140,9434,2.3,2.47,2.24,6.0,8.6,7.2,15.7,25.8,28.4,14.3,91204,52837,245176,3.2,5.3,70.5,5.2,6.4,3.9,4.5,0.0,0.9,2.47
Trumbull County, Ohio,2016,44.6,13.8,5.8,89.8,18.5,6.7,7.0,64.5,22.4,5.0,35.5,2501,98.7,26.6,34.1,1.6,0.6,204908.0,0.8,0.1,0.4,43.8,5.2,22.7,(X),25795,60457,45552,2665,61090,21739,17829,9032,1.9,2.39,2.14,5.9,14.9,8.0,14.2,22.8,25.2,14.9,29815,28201,95215,2.3,2.5,75.2,5.0,3.1,2.7,4.5,0.0,4.6,2.39
Tuscarawas County, Ohio,2016,43.5,11.9,6.7,85.9,17.5,7.2,6.3,65.9,25.2,5.4,34.1,2310,97.3,26.4,31.4,2.3,0.8,92579.0,0.3,0.0,0.4,40.9,6.0,25.1,(X),23812,58847,50440,2170,60765,17481,16585,8368,2.0,2.64,2.55,5.9,12.1,5.2,18.4,27.3,23.5,13.6,13193,11523,39856,1.7,1.6,74.7,4.0,1.8,2.5,2.4,0.0,11.4,2.64
Warren County, Ohio,2016,25.8,27.8,15.1,92.7,15.9,5.3,8.2,75.7,35.0,3.0,24.3,14187,93.2,18.8,29.1,2.5,1.2,222184.0,0.3,0.2,0.8,39.1,6.0,25.3,(X),38283,105864,80207,3508,108145,27653,19070,8842,0.2,2.82,2.13,6.6,6.1,4.6,15.5,30.5,28.8,14.5,46939,17583,85634,2.6,5.1,78.2,2.6,3.3,2.6,4.9,0.0,0.8,2.82
Wayne County, Ohio,2016,40.0,12.7,7.8,87.3,18.3,6.7,8.5,70.6,28.5,5.3,29.4,2292,97.8,26.0,32.8,1.8,1.1,115747.0,0.1,0.1,0.8,38.8,6.7,19.5,(X),24770,64910,53434,1841,63155,23820,19042,8398,1.5,2.63,2.52,6.1,10.1,7.5,17.3,26.1,24.3,14.7,17633,13190,46173,1.2,3.2,73.1,3.9,1.8,4.3,4.8,0.0,7.8,2.63
Wood County, Ohio,2016,28.3,19.2,15.2,93.8,20.7,5.3,10.3,61.3,25.3,4.6,38.7,3648,96.9,34.2,39.0,5.2,3.8,129418.0,0.5,0.0,1.4,34.7,5.3,20.2,(X),31344,78726,60166,N,78579,25545,18784,9504,1.4,2.6,2.17,6.2,7.3,6.9,14.5,24.6,24.9,21.8,21805,11695,53431,5.5,2.7,65.9,4.0,6.5,4.0,5.2,0.1,6.1,2.6
Canadian County, Oklahoma,2016,29.3,20.1,6.2,91.3,26.1,5.7,9.6,73.4,33.7,4.3,26.6,7122,93.7,22.0,29.0,7.9,6.6,129571.0,0.2,0.1,4.0,35.7,7.0,25.8,(X),27435,78821,67177,1580,79406,24534,18601,12011,2.4,3.06,2.98,5.9,4.7,7.2,11.1,29.6,28.2,19.3,22144,11245,48039,1.0,1.6,84.7,0.9,4.0,0.9,1.2,0.3,5.3,3.06
Cleveland County, Oklahoma,2016,23.3,21.5,11.7,92.0,25.9,6.1,9.7,67.3,29.0,6.0,32.7,16534,93.1,29.6,35.5,8.0,6.0,271818.0,0.4,0.0,1.8,33.4,5.9,22.1,(X),28999,75465,61288,3388,71559,27278,19286,10162,2.1,2.64,2.34,5.5,3.9,5.3,10.7,24.2,29.4,26.4,44073,22908,113531,4.3,2.7,72.5,1.2,4.8,3.2,5.8,0.0,5.4,2.64
Comanche County, Oklahoma,2016,32.9,12.3,8.3,88.7,27.2,9.3,8.0,65.9,32.0,6.9,34.1,5989,91.4,27.0,37.0,12.4,8.3,124583.0,2.3,0.1,3.0,32.0,7.5,15.8,(X),25962,66593,51164,798,60076,29043,17189,9633,4.1,2.56,2.71,5.4,5.0,4.8,9.7,20.7,30.1,29.7,14673,7583,51740,3.2,2.7,70.9,3.7,4.0,3.8,6.6,0.0,5.1,2.56
Creek County, Oklahoma,2016,42.0,12.1,4.2,86.6,21.2,10.4,7.2,70.8,26.3,4.6,29.2,1798,97.2,21.1,30.2,3.7,3.3,70931.0,0.1,0.0,0.9,40.6,6.3,23.6,(X),22307,57170,43609,2779,63990,15705,19268,9397,1.6,2.74,2.77,5.0,7.5,6.3,15.2,28.2,25.7,17.0,9774,8847,30272,1.6,0.3,70.4,1.3,1.4,2.5,1.0,0.2,21.4,2.74
Muskogee County, Oklahoma,2016,35.5,14.8,5.8,86.8,22.5,10.1,8.1,68.8,28.1,6.4,31.2,1340,97.4,21.4,30.0,5.7,4.7,69939.0,0.4,0.1,2.1,37.8,6.9,20.5,(X),20954,54551,40860,1521,58914,20820,16574,8586,1.4,2.59,2.42,5.7,5.8,5.3,10.8,29.0,29.4,19.6,8764,8106,30928,1.6,0.7,75.2,2.2,3.3,2.5,4.1,0.1,10.2,2.59
Oklahoma County, Oklahoma,2016,25.4,19.9,11.3,86.8,23.3,7.7,6.9,60.8,27.5,4.9,39.2,79119,88.8,30.9,37.1,16.4,13.6,764698.0,0.3,0.1,3.7,34.3,7.8,21.2,(X),28500,72437,51078,1540,73647,23234,17427,9086,1.6,2.61,2.45,5.3,6.3,4.9,9.8,23.0,30.5,25.5,108760,67132,337587,5.4,3.3,70.0,1.9,5.4,3.8,7.7,0.1,2.5,2.61
Payne County, Oklahoma,2016,25.4,18.5,18.0,91.7,22.7,5.5,7.1,52.9,20.8,2.4,47.1,5623,91.9,37.2,49.7,4.5,3.3,79953.0,0.2,0.0,0.6,27.1,5.6,15.6,(X),23208,59747,35927,269,62382,21476,19576,8619,2.1,2.57,2.22,5.1,5.1,4.0,7.5,22.2,25.9,35.4,7799,7364,35931,4.6,3.2,57.1,3.6,8.9,2.2,8.4,0.2,11.8,2.57
Pottawatomie County, Oklahoma,2016,36.7,11.7,5.2,87.1,25.1,10.4,8.4,67.4,27.1,5.4,32.6,808,98.2,26.4,30.4,4.8,4.1,71551.0,0.1,0.0,1.1,37.5,6.6,24.0,(X),20873,56177,41716,1916,56346,21320,17508,9021,3.0,2.75,2.6,5.3,7.6,8.1,12.7,24.0,28.0,19.6,9150,8594,29735,1.4,0.6,77.6,2.2,2.1,1.0,2.5,0.0,12.7,2.75
Rogers County, Oklahoma,2016,33.5,15.9,7.0,91.8,25.6,5.8,9.9,71.7,30.6,4.1,28.3,2338,97.2,20.9,27.7,4.2,3.4,89970.0,0.1,0.1,1.8,38.9,5.9,26.2,(X),30303,78871,62434,1437,80929,19205,19870,9618,2.4,2.7,2.47,5.8,6.4,7.2,14.0,29.8,25.7,16.8,17499,9524,37318,1.1,1.5,81.1,1.5,1.7,1.1,1.1,0.2,10.8,2.7
Tulsa County, Oklahoma,2016,25.9,21.1,10.1,89.2,23.6,6.4,8.5,62.8,28.6,5.4,37.2,55971,90.4,27.9,33.8,11.8,9.6,629823.0,0.4,0.1,4.2,35.4,7.4,20.2,(X),29770,73613,51325,1639,75615,19672,19016,9628,1.8,2.59,2.36,5.5,5.4,5.1,10.3,23.2,30.6,25.4,94956,53239,281921,7.9,3.0,68.4,1.5,6.7,4.2,5.7,0.1,2.6,2.59
Wagoner County, Oklahoma,2016,33.5,18.2,7.0,90.5,24.0,7.5,7.9,74.5,30.3,4.4,25.5,2735,95.9,21.0,26.3,5.5,4.3,76190.0,0.3,0.0,1.6,38.5,6.4,25.5,(X),26675,71480,62041,1751,71149,20606,20609,8943,1.9,2.7,2.86,5.8,5.5,6.0,11.4,34.5,26.7,16.0,14393,7708,31535,1.3,1.0,78.6,0.9,0.9,0.8,1.0,0.0,15.5,2.7
Benton County, Oregon,2016,10.5,29.6,24.6,95.8,23.4,3.0,7.6,58.9,21.5,4.5,41.1,7413,90.6,39.6,44.1,7.0,5.5,87455.0,0.2,0.0,1.4,32.6,4.3,19.0,(X),30516,77905,55459,3291,74881,35895,21680,9909,1.9,2.46,2.34,5.8,5.3,5.5,10.5,22.7,27.4,28.5,12625,7592,37792,4.8,5.6,58.5,3.0,8.4,5.0,7.4,0.1,7.2,2.46
Clackamas County, Oregon,2016,20.5,22.9,13.1,93.7,27.2,3.9,10.0,69.2,28.8,4.3,30.8,32026,90.8,23.9,28.8,8.2,6.6,394967.0,0.3,0.1,2.0,41.4,5.5,29.3,(X),38309,99007,74891,1981,99587,29841,21435,8711,1.6,2.76,2.33,6.0,5.9,5.3,15.2,26.2,29.8,17.5,77006,31549,163771,3.6,4.8,69.3,1.1,8.6,3.0,3.9,0.2,5.6,2.76
Deschutes County, Oregon,2016,28.1,20.2,12.5,92.3,22.5,6.5,8.9,66.5,24.1,5.1,33.5,6518,95.3,23.4,30.5,7.6,6.0,170813.0,0.4,0.2,1.9,42.0,5.4,17.9,(X),31790,78473,61870,1860,75242,26081,20141,8185,2.6,2.56,2.45,5.2,2.6,4.6,9.1,27.6,30.6,25.4,31615,16240,85935,2.1,4.3,72.7,3.1,3.3,4.4,2.2,0.4,7.4,2.56
Douglas County, Oregon,2016,31.3,9.4,8.1,89.0,29.9,8.2,10.3,63.2,20.0,2.5,36.8,3547,96.1,20.2,24.8,5.3,4.0,107375.0,0.2,0.0,0.7,47.0,5.1,19.3,(X),25507,60183,42889,3224,59976,24937,17156,8555,2.4,2.49,2.31,5.5,7.1,7.5,13.5,26.9,23.8,21.1,16534,13174,49207,1.3,2.0,65.4,1.4,3.3,3.2,2.0,0.6,20.7,2.49
Jackson County, Oregon,2016,25.1,16.7,9.9,88.8,30.2,7.2,6.9,63.2,24.3,3.9,36.8,12857,93.1,24.9,30.2,11.9,10.1,210916.0,0.3,0.1,2.1,42.9,5.7,18.0,(X),27523,66160,48563,3372,63703,25565,19076,9422,0.9,2.49,2.39,5.4,5.4,4.4,12.7,24.7,30.5,22.4,34029,20213,93383,1.0,4.5,63.1,2.6,3.9,7.4,3.4,0.4,13.7,2.49
Josephine County, Oregon,2016,27.5,12.8,6.8,88.0,32.9,10.8,8.2,65.1,19.0,3.6,34.9,2029,96.9,16.6,25.8,7.0,5.6,84063.0,0.5,0.0,1.9,47.9,4.9,18.3,(X),21466,50614,36472,2354,48948,24023,16481,10006,1.3,2.48,2.24,5.0,5.2,7.1,11.5,28.7,28.1,19.4,12685,9384,38274,0.2,2.5,67.3,4.4,4.2,2.7,1.0,0.2,17.4,2.48
Klamath County, Oregon,2016,31.8,10.9,7.4,85.6,27.0,8.4,8.6,66.0,21.6,5.1,34.0,4381,92.7,23.1,32.3,11.9,10.6,65946.0,0.1,0.0,2.4,42.6,6.0,17.4,(X),24118,58173,45604,2866,55674,19510,18422,12706,4.5,2.47,2.5,5.2,7.5,7.3,11.0,23.6,30.1,20.6,9595,7339,32825,0.8,4.3,70.1,1.6,2.5,2.8,1.6,0.0,16.2,2.47
Lane County, Oregon,2016,24.5,17.3,11.5,91.4,28.4,6.4,9.7,60.2,23.1,6.1,39.8,20109,93.8,31.5,37.7,8.2,6.4,360273.0,0.3,0.1,2.5,39.3,5.0,20.6,(X),26418,63747,47777,3243,62312,25756,19107,9369,1.3,2.44,2.46,5.3,5.4,5.7,12.0,24.5,28.0,24.5,54637,32376,159704,4.5,5.9,62.4,2.4,7.1,4.1,4.5,0.3,8.8,2.44
Linn County, Oregon,2016,27.8,14.5,7.2,91.7,34.7,5.9,7.5,66.0,24.4,5.0,34.0,6043,94.5,23.1,29.3,8.4,6.9,119862.0,0.3,0.1,2.4,39.5,6.1,20.7,(X),26902,69891,51310,3743,63345,38830,19733,8581,1.6,2.67,2.47,5.6,6.9,6.6,13.3,24.2,28.2,20.7,19518,10806,49394,3.6,4.7,67.9,2.7,3.4,3.2,3.7,0.0,10.8,2.67
Marion County, Oregon,2016,26.7,14.8,7.9,85.3,27.4,6.7,8.5,66.8,27.8,3.6,33.2,42425,86.7,26.6,33.6,25.6,23.4,326527.0,0.3,0.1,8.0,36.0,6.9,25.2,(X),25282,69379,56550,2670,67106,28476,19548,10744,3.1,2.84,2.72,5.5,4.0,4.0,12.4,26.7,30.3,22.7,43577,25660,124185,2.9,3.5,62.5,3.4,5.4,5.6,7.3,0.0,9.4,2.84
Multnomah County, Oregon,2016,16.4,27.3,17.9,91.2,22.5,4.8,7.1,54.3,24.3,4.0,45.7,108892,85.0,36.3,43.3,11.1,8.7,778193.0,0.4,0.3,3.4,36.7,5.9,27.7,(X),35865,86044,62629,2814,86943,28421,18366,9612,0.9,2.62,2.23,5.0,4.1,4.5,10.5,24.0,32.9,24.0,126261,43538,340316,5.9,4.7,55.9,3.4,17.7,5.1,5.5,0.2,1.6,2.62
Polk County, Oregon,2016,24.2,17.4,12.3,90.5,26.9,6.0,9.6,66.4,24.1,4.4,33.6,6689,90.5,32.4,32.1,13.0,11.2,78470.0,0.6,0.1,3.4,37.3,5.9,23.7,(X),26827,70588,52485,2374,67738,28011,19679,11168,3.6,2.8,2.62,6.0,4.5,5.9,13.4,26.6,30.7,19.0,N,N,31458,3.4,5.4,67.9,2.5,3.5,6.0,3.5,0.5,7.2,2.8
Umatilla County, Oregon,2016,28.5,8.2,7.5,81.7,28.0,9.0,9.5,68.2,34.2,3.0,31.8,8036,88.3,26.5,37.3,25.6,23.3,76582.0,0.2,0.0,5.9,35.9,7.0,19.0,(X),21693,61956,50171,2435,59773,26217,18766,8654,1.4,2.84,2.63,5.4,6.5,4.2,14.2,25.7,27.1,22.3,9313,7852,29890,1.7,1.4,65.4,2.3,3.6,7.3,1.7,0.6,15.8,2.84
Washington County, Oregon,2016,17.8,26.0,17.0,91.5,21.7,4.5,9.0,67.9,32.0,4.3,32.1,99414,81.3,26.3,32.5,16.2,13.2,564088.0,0.3,0.1,5.9,36.2,6.6,25.0,(X),35786,94948,75634,3123,94863,27601,20063,10058,1.1,2.81,2.52,5.6,3.3,4.1,10.7,27.5,32.0,22.4,96905,33469,225473,6.6,8.8,57.4,1.8,10.2,5.4,6.6,0.0,3.2,2.81
Yamhill County, Oregon,2016,27.3,18.4,8.0,89.2,26.6,7.9,8.8,72.6,29.0,5.1,27.4,8922,90.5,27.1,32.3,15.4,14.0,102217.0,0.2,0.1,4.0,38.1,5.8,26.5,(X),29037,82136,61596,2665,84494,24136,19600,12178,0.5,2.81,2.72,5.7,4.5,3.5,11.6,32.0,28.0,20.4,17676,6597,38225,2.8,4.3,68.1,4.6,5.6,2.2,3.2,0.9,8.5,2.81
Adams County, Pennsylvania,2016,40.6,12.2,9.4,86.7,15.7,8.4,8.7,68.8,23.3,3.4,31.2,4476,95.0,23.5,30.2,6.6,4.6,101759.0,0.9,0.1,4.1,43.1,5.1,28.9,(X),28404,72296,59300,3943,72661,26459,20682,9926,0.5,2.57,2.58,6.0,11.8,8.7,19.2,26.6,22.2,11.5,18501,11219,41612,1.1,7.4,74.6,3.0,1.8,4.0,2.8,0.0,5.3,2.57
Allegheny County, Pennsylvania,2016,27.3,24.8,16.7,94.4,16.1,3.9,9.4,55.9,21.5,3.6,44.1,69565,93.5,33.9,39.7,1.9,0.6,1230360.0,0.5,0.1,0.6,40.8,5.3,26.9,(X),34440,78027,56140,1959,82720,20693,18791,9712,1.6,2.43,1.92,5.8,13.5,8.2,13.2,23.2,24.4,17.4,204942,134067,592265,4.0,10.7,62.0,4.9,8.8,4.7,4.2,0.0,0.7,2.43
Armstrong County, Pennsylvania,2016,47.1,10.4,5.8,88.5,15.5,9.0,9.7,67.1,24.4,5.4,32.9,800,98.2,21.5,31.8,0.7,0.2,67512.0,0.2,0.0,0.1,46.0,5.1,28.7,(X),24805,60137,47398,1681,63129,16002,18022,10777,2.2,2.67,1.92,5.8,16.0,10.2,18.7,29.0,18.5,7.6,9838,10900,32300,0.4,3.8,75.0,2.5,2.1,2.4,1.0,0.0,12.7,2.67
Beaver County, Pennsylvania,2016,36.5,17.7,7.9,92.4,18.1,6.0,12.2,65.1,23.2,3.6,34.9,2084,98.2,26.6,31.4,1.4,0.7,169205.0,0.3,0.1,0.4,44.8,5.2,26.0,(X),29622,69655,55221,2485,72899,18892,19672,10582,2.6,2.49,2.12,5.9,17.3,8.9,13.5,26.5,23.3,10.5,27943,22280,78256,2.2,7.2,74.2,4.2,3.4,2.7,2.4,0.0,3.8,2.49
Berks County, Pennsylvania,2016,37.3,16.1,8.9,86.4,15.7,7.7,8.4,68.1,29.2,4.5,31.9,29199,87.8,31.2,36.0,18.8,3.3,414097.0,10.3,0.2,5.0,39.8,5.9,25.4,(X),29321,76779,59286,1871,76740,19749,19191,9362,2.2,2.73,2.53,6.3,10.2,9.2,15.8,28.7,22.6,13.4,68219,38818,164961,2.1,23.1,57.3,3.6,4.3,3.0,3.8,0.0,2.7,2.73
Blair County, Pennsylvania,2016,48.1,13.1,5.3,91.7,17.3,6.6,8.0,64.3,24.0,4.7,35.7,1176,98.9,25.8,32.2,1.1,0.4,125917.0,0.3,0.0,0.3,43.1,5.4,19.1,(X),24821,58867,43443,1960,58037,14604,18543,8593,1.0,2.54,1.99,6.0,15.1,9.2,14.9,24.3,24.0,12.4,18924,16166,55972,2.3,4.1,71.7,3.9,4.1,3.7,4.0,0.0,6.1,2.54
Bucks County, Pennsylvania,2016,29.6,24.0,16.1,93.6,15.9,4.4,7.9,70.9,27.1,4.8,29.1,63402,89.0,26.0,31.7,4.9,1.2,626220.0,2.0,0.2,1.2,43.3,5.0,30.4,(X),40787,106713,79936,2951,108160,26981,21199,11250,0.6,2.77,2.18,6.6,10.7,9.7,17.2,27.7,22.0,12.5,123212,55962,247846,3.8,16.6,62.5,2.6,7.3,2.1,3.2,0.0,1.8,2.77
Butler County, Pennsylvania,2016,31.9,22.8,13.5,95.0,16.6,3.5,10.1,66.5,26.2,4.4,33.5,4750,97.1,24.8,30.8,1.3,0.6,185974.0,0.3,0.0,0.3,43.0,5.1,27.9,(X),35858,88042,66426,1926,92607,23375,20085,9312,1.4,2.53,1.97,6.2,11.7,7.2,16.5,26.1,24.5,13.9,34921,22692,81566,3.8,7.8,68.7,2.2,4.5,2.3,2.4,0.1,8.2,2.53
Cambria County, Pennsylvania,2016,43.5,13.5,8.7,91.9,15.7,5.7,10.5,63.7,22.3,4.2,36.3,1508,98.4,27.9,34.5,1.5,0.5,137762.0,0.5,0.1,0.5,44.7,4.9,24.7,(X),24592,57562,44100,2094,59969,18620,18738,8874,2.1,2.39,1.89,6.1,20.6,11.8,15.0,19.7,21.7,11.3,19604,22668,64979,1.5,6.8,74.7,4.4,3.4,4.0,1.5,0.1,3.5,2.39
Carbon County, Pennsylvania,2016,46.4,11.3,6.0,89.1,15.8,8.1,9.7,62.6,20.3,5.3,37.4,2131,94.6,27.4,30.0,4.1,0.9,64330.0,2.5,0.1,0.3,45.5,4.7,34.9,(X),26306,63116,51676,915,67736,14081,19119,9647,3.8,2.37,2.55,6.0,17.4,8.5,14.0,28.0,21.5,10.6,10987,9133,34360,0.9,15.6,73.5,2.0,0.3,1.8,1.5,0.0,4.5,2.37
Centre County, Pennsylvania,2016,29.3,26.5,21.8,95.2,11.0,3.0,6.7,57.2,22.2,4.2,42.8,13594,90.7,41.6,52.4,2.8,0.8,159178.0,0.8,0.1,0.8,30.8,4.1,19.7,(X),31158,81724,60266,956,84094,26015,20058,7940,0.5,2.57,2.34,5.8,8.0,5.6,13.9,22.7,24.9,24.9,22136,14748,65766,3.4,7.0,61.3,2.8,13.0,4.8,3.6,0.0,4.0,2.57
Chester County, Pennsylvania,2016,21.8,31.2,19.9,93.3,13.6,4.1,6.8,70.2,30.5,4.6,29.8,45706,89.9,28.6,34.2,7.1,4.0,512028.0,1.6,0.1,1.5,40.3,5.7,28.8,(X),46699,125605,92407,1858,125734,27429,21642,10525,1.6,2.83,2.26,6.9,7.3,7.6,15.5,29.4,24.3,15.8,99419,39260,197721,4.0,18.0,61.0,1.8,6.5,3.2,2.3,0.0,3.2,2.83
Clearfield County, Pennsylvania,2016,49.3,8.8,5.3,86.0,13.3,9.7,9.3,65.8,20.6,5.3,34.2,2199,96.8,23.1,37.3,2.8,0.7,81170.0,0.9,0.1,0.7,43.9,4.6,23.0,(X),22804,58404,47352,3471,58078,19881,18094,11338,4.3,2.65,2.39,5.8,17.4,12.0,13.8,26.3,18.0,12.4,10835,11549,38647,0.4,1.1,75.1,3.8,2.4,2.8,1.3,0.0,13.3,2.65
Columbia County, Pennsylvania,2016,40.6,13.7,9.2,89.3,17.6,8.3,8.2,64.2,22.7,5.2,35.8,1175,97.6,31.7,35.2,2.5,0.5,66772.0,1.5,0.0,0.9,40.1,4.6,22.0,(X),25362,64433,49186,2010,67746,19391,17527,10911,1.4,2.46,2.03,5.9,11.0,10.7,15.5,25.8,26.4,10.5,9514,8356,29688,1.1,8.1,67.0,5.2,3.0,4.8,1.6,0.0,9.3,2.46
Crawford County, Pennsylvania,2016,46.2,12.6,9.5,89.5,13.6,7.1,7.6,61.8,21.4,4.6,38.2,1296,97.9,27.1,30.5,1.2,0.3,87027.0,0.6,0.1,0.4,42.6,5.5,20.7,(X),24778,61696,45410,1727,62508,19197,18664,9410,3.5,2.47,2.34,5.8,13.4,9.2,16.0,26.9,21.6,12.8,12748,12303,44244,1.0,1.6,70.6,5.5,1.6,3.3,0.9,0.0,15.5,2.47
Cumberland County, Pennsylvania,2016,31.2,22.8,13.2,91.5,16.6,6.3,7.6,63.1,23.5,4.1,36.9,16169,91.9,28.0,36.4,3.4,1.0,243838.0,1.3,0.1,1.6,40.7,5.4,21.4,(X),33912,82236,63530,2347,84639,26743,19834,9655,1.7,2.51,2.25,6.1,8.5,8.3,14.0,27.2,25.9,16.1,43479,24132,104201,2.7,16.4,62.1,2.6,4.2,3.5,4.4,0.0,4.2,2.51
Dauphin County, Pennsylvania,2016,32.3,20.2,12.2,90.0,16.7,6.7,8.7,62.9,25.2,4.4,37.1,19591,90.0,31.4,35.9,8.2,1.1,271962.0,4.8,0.2,3.1,39.6,6.3,22.6,(X),32143,77859,60331,2964,78144,24257,19405,10592,1.7,2.47,2.27,5.9,9.9,7.7,15.6,23.0,24.9,19.0,41992,28979,122656,3.9,22.9,49.0,4.2,5.8,6.1,5.2,0.0,2.9,2.47
Delaware County, Pennsylvania,2016,31.0,22.1,16.3,92.9,16.1,4.8,7.5,66.2,27.6,5.0,33.8,58567,88.2,34.8,40.3,3.5,0.5,562316.0,1.4,0.2,1.3,39.0,6.0,29.1,(X),36333,95868,67950,3364,98385,24064,19693,10271,1.9,2.8,2.31,6.2,11.4,9.3,15.1,27.6,23.2,13.5,89260,48802,221753,3.3,29.3,45.6,4.9,8.8,4.5,3.4,0.0,0.2,2.8
Erie County, Pennsylvania,2016,41.2,18.4,9.7,92.2,15.0,5.6,7.9,61.9,26.0,5.6,38.1,13586,94.1,33.3,39.1,3.9,0.6,279133.0,2.4,0.1,1.2,38.9,5.7,19.9,(X),25727,63819,48964,2488,66537,18198,18524,10545,2.4,2.52,2.16,5.9,10.5,8.3,14.9,25.6,24.0,16.6,41540,30883,120077,2.2,2.9,66.5,8.5,5.0,6.4,3.0,0.0,5.5,2.52
Fayette County, Pennsylvania,2016,50.0,11.5,4.8,87.7,13.2,10.0,8.3,62.1,22.7,3.6,37.9,944,99.0,26.8,35.4,1.0,0.3,134229.0,0.5,0.0,0.4,44.4,5.0,26.5,(X),24029,56917,43140,2053,59762,19917,17796,9244,2.2,2.46,2.14,5.9,17.0,10.2,19.4,23.6,20.3,9.6,21201,18983,62771,0.5,3.6,73.7,3.6,3.0,3.8,2.7,0.0,9.1,2.46
Franklin County, Pennsylvania,2016,42.3,13.1,8.6,88.1,15.0,8.7,9.2,68.0,26.2,3.3,32.0,5075,95.1,22.3,28.9,5.1,1.9,152707.0,1.0,0.2,0.8,40.9,6.0,25.7,(X),30949,77464,60559,1763,73669,24450,20068,11735,2.3,2.55,2.4,6.1,10.6,7.4,12.6,30.5,24.1,14.8,26673,15617,64405,1.2,12.5,62.8,4.1,1.0,5.9,4.2,0.1,8.4,2.55
Indiana County, Pennsylvania,2016,43.7,12.7,9.2,89.3,14.7,7.4,9.0,61.1,21.2,4.9,38.9,1543,97.7,30.7,36.9,1.3,0.5,87491.0,0.4,0.1,0.5,39.0,4.8,24.3,(X),24215,59117,42962,2445,59221,18303,18589,10123,1.2,2.42,2.09,5.9,15.9,8.9,15.5,21.8,18.6,19.4,11537,12721,38455,4.1,3.1,69.3,3.5,2.7,1.9,4.7,0.0,10.6,2.42
Lackawanna County, Pennsylvania,2016,37.3,16.8,10.2,90.2,16.7,6.2,9.2,59.1,22.2,3.9,40.9,10144,93.4,31.4,38.2,6.3,0.9,213006.0,3.2,0.1,0.7,42.2,5.3,21.6,(X),27126,64366,47475,2111,70445,18267,18219,10468,1.1,2.48,2.16,6.0,16.1,9.2,12.4,24.3,23.7,14.3,29340,25140,98711,1.3,6.0,63.5,11.2,4.4,7.3,4.1,0.0,2.2,2.48
Lancaster County, Pennsylvania,2016,36.9,16.2,8.8,84.8,14.9,8.7,8.1,69.2,27.2,4.2,30.8,24828,92.7,27.9,33.2,9.8,1.1,533110.0,6.5,0.3,3.4,38.5,6.7,24.0,(X),29740,79344,61335,2363,78032,20098,19812,9856,0.5,2.81,2.4,6.1,8.3,8.0,13.9,28.3,25.0,16.6,83932,49146,207807,3.1,20.4,53.8,3.7,5.2,5.6,4.3,0.0,3.9,2.81
