,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",State,Arson
2,Sandoval,25.0,0.0,,1.0,21.0,166.0,47.0,111.0,8.0,new-mexico,0.0
3,Santa Fe,111.0,1.0,,13.0,89.0,656.0,397.0,257.0,2.0,new-mexico,0.0
4,Torrance,66.0,1.0,,4.0,50.0,193.0,106.0,59.0,28.0,new-mexico,0.0
5,Valencia,386.0,0.0,,11.0,356.0,1196.0,414.0,516.0,266.0,new-mexico,0.0
6,Catron,7.0,0.0,,0.0,7.0,17.0,3.0,12.0,2.0,new-mexico,0.0
7,Chaves,62.0,1.0,,1.0,48.0,207.0,89.0,89.0,29.0,new-mexico,0.0
8,Cibola,78.0,0.0,,0.0,75.0,91.0,44.0,33.0,14.0,new-mexico,0.0
9,Colfax,12.0,0.0,,2.0,10.0,23.0,13.0,7.0,3.0,new-mexico,0.0
10,Curry,18.0,2.0,,1.0,13.0,158.0,74.0,68.0,16.0,new-mexico,0.0
11,De Baca,2.0,0.0,,1.0,1.0,31.0,16.0,11.0,4.0,new-mexico,0.0
12,Eddy,39.0,2.0,,1.0,36.0,328.0,63.0,202.0,63.0,new-mexico,0.0
13,Hidalgo,4.0,0.0,,1.0,3.0,18.0,11.0,6.0,1.0,new-mexico,0.0
14,Lea,22.0,1.0,,2.0,14.0,384.0,135.0,215.0,34.0,new-mexico,0.0
15,Lincoln,23.0,0.0,,0.0,19.0,102.0,48.0,49.0,5.0,new-mexico,0.0
16,Luna,44.0,0.0,,1.0,43.0,242.0,91.0,123.0,28.0,new-mexico,0.0
17,McKinley,85.0,1.0,,5.0,71.0,265.0,87.0,157.0,21.0,new-mexico,0.0
18,Mora,5.0,0.0,,0.0,5.0,25.0,12.0,8.0,5.0,new-mexico,0.0
19,Otero,124.0,0.0,,0.0,114.0,272.0,115.0,139.0,18.0,new-mexico,0.0
20,Quay,3.0,0.0,,0.0,3.0,29.0,12.0,15.0,2.0,new-mexico,0.0
21,San Miguel,8.0,0.0,,0.0,8.0,4.0,1.0,1.0,2.0,new-mexico,0.0
22,Sierra,35.0,2.0,,0.0,25.0,76.0,27.0,41.0,8.0,new-mexico,0.0
23,Socorro,18.0,0.0,,0.0,15.0,47.0,11.0,30.0,6.0,new-mexico,0.0
24,Union,2.0,0.0,,0.0,2.0,11.0,8.0,3.0,0.0,new-mexico,0.0
25,,,,,,,,,,,new-mexico,0.0
0,Allen,156.0,4.0,,30.0,102.0,866.0,225.0,603.0,38.0,indiana,0.0
1,Bartholemew,32.0,0.0,,3.0,23.0,508.0,141.0,303.0,64.0,indiana,0.0
2,Brown,45.0,0.0,,1.0,43.0,232.0,38.0,171.0,23.0,indiana,1.0
3,Clark,99.0,0.0,,2.0,90.0,546.0,200.0,295.0,51.0,indiana,0.0
4,Delaware,43.0,3.0,,2.0,36.0,417.0,149.0,232.0,36.0,indiana,2.0
5,Floyd,33.0,1.0,,7.0,22.0,389.0,80.0,274.0,35.0,indiana,0.0
6,Howard,72.0,1.0,,7.0,60.0,277.0,108.0,149.0,20.0,indiana,0.0
7,La Porte,29.0,0.0,,4.0,20.0,525.0,238.0,257.0,30.0,indiana,0.0
8,Lake,62.0,4.0,5.0,36.0,17.0,639.0,104.0,453.0,82.0,indiana,1.0
9,Madison,46.0,1.0,29.0,8.0,8.0,467.0,104.0,334.0,29.0,indiana,0.0
10,Shelby,36.0,1.0,2.0,0.0,33.0,200.0,72.0,104.0,24.0,indiana,0.0
11,St. Joseph,148.0,1.0,28.0,27.0,92.0,1162.0,375.0,695.0,92.0,indiana,3.0
12,Sullivan,6.0,0.0,,1.0,5.0,174.0,44.0,105.0,25.0,indiana,0.0
13,Tippecanoe,45.0,0.0,,6.0,31.0,571.0,181.0,355.0,35.0,indiana,0.0
14,Vanderburgh,55.0,0.0,9.0,9.0,37.0,627.0,113.0,482.0,32.0,indiana,2.0
15,Wells,1.0,0.0,0.0,0.0,1.0,123.0,40.0,80.0,3.0,indiana,0.0
16,Blackford,1.0,0.0,,0.0,1.0,30.0,7.0,22.0,1.0,indiana,0.0
17,Clinton,14.0,0.0,,6.0,2.0,208.0,44.0,148.0,16.0,indiana,0.0
18,Crawford,21.0,0.0,,0.0,20.0,105.0,92.0,0.0,13.0,indiana,0.0
19,Daviess,0.0,0.0,0.0,0.0,0.0,109.0,31.0,64.0,14.0,indiana,0.0
20,De Kalb,7.0,0.0,4.0,0.0,3.0,195.0,54.0,124.0,17.0,indiana,0.0
21,Franklin,2.0,0.0,,1.0,1.0,145.0,64.0,74.0,7.0,indiana,0.0
22,Gibson,12.0,0.0,,0.0,9.0,151.0,24.0,102.0,25.0,indiana,1.0
23,Grant,35.0,0.0,,3.0,27.0,276.0,84.0,181.0,11.0,indiana,0.0
24,Greene,1.0,0.0,1.0,0.0,0.0,226.0,52.0,156.0,18.0,indiana,1.0
25,Huntington,6.0,0.0,1.0,0.0,5.0,103.0,25.0,69.0,9.0,indiana,0.0
26,Jackson,24.0,1.0,4.0,1.0,18.0,349.0,63.0,270.0,16.0,indiana,0.0
27,Jay,5.0,0.0,,0.0,4.0,57.0,5.0,43.0,9.0,indiana,0.0
28,Jennings,17.0,0.0,,0.0,14.0,266.0,153.0,102.0,11.0,indiana,0.0
29,Knox,9.0,1.0,0.0,1.0,7.0,37.0,12.0,22.0,3.0,indiana,0.0
30,Kosciusko,62.0,1.0,,3.0,51.0,497.0,155.0,315.0,27.0,indiana,3.0
31,LaGrange,40.0,2.0,5.0,1.0,32.0,147.0,43.0,83.0,21.0,indiana,0.0
32,Lawrence,129.0,0.0,,2.0,122.0,221.0,71.0,120.0,30.0,indiana,6.0
33,Miami,10.0,0.0,,2.0,6.0,252.0,73.0,173.0,6.0,indiana,0.0
34,Noble,17.0,0.0,,0.0,16.0,234.0,93.0,126.0,15.0,indiana,0.0
35,Steuben,22.0,1.0,8.0,1.0,12.0,439.0,123.0,287.0,29.0,indiana,0.0
36,Wabash,3.0,0.0,,0.0,3.0,135.0,35.0,95.0,5.0,indiana,0.0
37,Wayne,12.0,1.0,5.0,1.0,5.0,275.0,104.0,162.0,9.0,indiana,0.0
38,White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indiana,0.0
39,,,,,,,,,,,indiana,0.0
0,Laramie,70.0,3.0,10.0,3.0,54.0,495.0,117.0,319.0,59.0,wyoming,1.0
1,Natrona,56.0,0.0,19.0,3.0,34.0,248.0,84.0,136.0,28.0,wyoming,3.0
2,Albany,9.0,0.0,0.0,0.0,9.0,36.0,5.0,29.0,2.0,wyoming,1.0
3,Big Horn,2.0,0.0,2.0,0.0,0.0,24.0,7.0,15.0,2.0,wyoming,1.0
4,Campbell,126.0,2.0,5.0,0.0,119.0,121.0,33.0,82.0,6.0,wyoming,3.0
5,Carbon,8.0,0.0,1.0,0.0,7.0,25.0,6.0,17.0,2.0,wyoming,0.0
6,Crook,1.0,0.0,0.0,0.0,1.0,47.0,12.0,30.0,5.0,wyoming,0.0
7,Fremont,25.0,0.0,4.0,0.0,21.0,169.0,13.0,144.0,12.0,wyoming,0.0
8,Goshen,27.0,0.0,1.0,0.0,26.0,42.0,12.0,27.0,3.0,wyoming,0.0
9,Hot Springs,1.0,0.0,0.0,0.0,1.0,16.0,0.0,11.0,5.0,wyoming,0.0
10,Johnson,5.0,0.0,1.0,0.0,4.0,29.0,10.0,18.0,1.0,wyoming,0.0
11,Lincoln,19.0,0.0,4.0,0.0,15.0,58.0,15.0,39.0,4.0,wyoming,2.0
12,Park,30.0,0.0,1.0,1.0,28.0,82.0,24.0,58.0,0.0,wyoming,0.0
13,Platte,1.0,0.0,0.0,0.0,1.0,24.0,13.0,10.0,1.0,wyoming,0.0
14,Sheridan,27.0,0.0,0.0,0.0,27.0,36.0,7.0,25.0,4.0,wyoming,0.0
15,Sublette,3.0,0.0,0.0,1.0,2.0,79.0,5.0,69.0,5.0,wyoming,0.0
16,Sweetwater,25.0,0.0,7.0,0.0,18.0,124.0,33.0,69.0,22.0,wyoming,5.0
17,Uinta,4.0,0.0,0.0,0.0,4.0,60.0,5.0,50.0,5.0,wyoming,0.0
18,Washakie,0.0,0.0,0.0,0.0,0.0,14.0,4.0,7.0,3.0,wyoming,0.0
19,Weston,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,wyoming,0.0
0,Androscoggin3,14.0,0.0,6.0,1.0,7.0,122.0,38.0,80.0,4.0,maine,0.0
1,Cumberland3,21.0,0.0,5.0,3.0,13.0,536.0,190.0,312.0,34.0,maine,0.0
2,Penobscot3,5.0,0.0,1.0,2.0,2.0,340.0,117.0,212.0,11.0,maine,1.0
3,Sagadahoc3,6.0,0.0,1.0,0.0,5.0,81.0,24.0,57.0,0.0,maine,2.0
4,York3,26.0,0.0,4.0,2.0,20.0,326.0,142.0,176.0,8.0,maine,0.0
5,Aroostook3,2.0,0.0,0.0,0.0,2.0,53.0,19.0,27.0,7.0,maine,0.0
6,Franklin,7.0,0.0,5.0,0.0,2.0,75.0,23.0,44.0,8.0,maine,0.0
7,Hancock3,1.0,0.0,0.0,0.0,1.0,165.0,53.0,108.0,4.0,maine,0.0
8,Kennebec,26.0,2.0,8.0,4.0,12.0,177.0,60.0,99.0,18.0,maine,0.0
9,Knox3,17.0,0.0,0.0,1.0,16.0,170.0,38.0,120.0,12.0,maine,0.0
10,Lincoln3,31.0,0.0,13.0,0.0,18.0,221.0,57.0,155.0,9.0,maine,0.0
11,Oxford3,18.0,0.0,8.0,1.0,9.0,343.0,82.0,245.0,16.0,maine,0.0
12,Piscataquis3,6.0,0.0,2.0,0.0,4.0,41.0,5.0,34.0,2.0,maine,0.0
13,Somerset,29.0,0.0,12.0,4.0,13.0,328.0,90.0,216.0,22.0,maine,0.0
14,Waldo3,11.0,0.0,2.0,1.0,8.0,170.0,46.0,118.0,6.0,maine,2.0
15,Washington3,17.0,0.0,4.0,1.0,12.0,136.0,46.0,83.0,7.0,maine,1.0
16,,,,,,,,,,,maine,0.0
0,Alameda,589.0,8.0,30.0,204.0,347.0,2195.0,490.0,1104.0,601.0,california,20.0
1,Butte,183.0,3.0,34.0,28.0,118.0,1344.0,656.0,666.0,22.0,california,0.0
2,Contra Costa,347.0,9.0,25.0,108.0,205.0,1485.0,505.0,957.0,23.0,california,20.0
3,El Dorado,291.0,1.0,53.0,37.0,200.0,2085.0,512.0,1534.0,39.0,california,5.0
4,Fresno,1177.0,12.0,29.0,82.0,1054.0,3798.0,1625.0,1468.0,705.0,california,170.0
5,Imperial,161.0,2.0,8.0,12.0,139.0,453.0,129.0,298.0,26.0,california,9.0
6,Kern,2403.0,44.0,177.0,443.0,1739.0,10440.0,3161.0,5109.0,2170.0,california,281.0
7,Kings,157.0,4.0,16.0,16.0,121.0,426.0,164.0,236.0,26.0,california,4.0
8,Los Angeles,6124.0,94.0,307.0,1474.0,4249.0,17498.0,3816.0,9328.0,4354.0,california,227.0
9,Madera,434.0,4.0,28.0,19.0,383.0,1102.0,517.0,568.0,17.0,california,2.0
10,Marin,72.0,3.0,4.0,19.0,46.0,730.0,172.0,554.0,4.0,california,1.0
11,Merced,542.0,2.0,18.0,33.0,489.0,1541.0,601.0,886.0,54.0,california,8.0
12,Monterey,286.0,11.0,18.0,54.0,203.0,1377.0,303.0,1041.0,33.0,california,11.0
13,Napa,61.0,0.0,7.0,8.0,46.0,270.0,93.0,175.0,2.0,california,0.0
14,Orange,229.0,0.0,20.0,30.0,179.0,1123.0,213.0,765.0,145.0,california,11.0
15,Placer,261.0,1.0,33.0,34.0,193.0,1539.0,471.0,1040.0,28.0,california,8.0
16,Riverside,841.0,28.0,56.0,177.0,580.0,7651.0,1695.0,4630.0,1326.0,california,22.0
17,Sacramento,2797.0,42.0,155.0,880.0,1720.0,10142.0,3062.0,6943.0,137.0,california,68.0
18,San Benito,39.0,1.0,6.0,4.0,28.0,126.0,64.0,52.0,10.0,california,1.0
19,San Bernardino,924.0,12.0,88.0,151.0,673.0,5235.0,1525.0,2513.0,1197.0,california,54.0
20,San Diego,1422.0,29.0,115.0,206.0,1072.0,4617.0,1131.0,2656.0,830.0,california,26.0
21,San Joaquin,793.0,7.0,26.0,174.0,586.0,3072.0,826.0,2106.0,140.0,california,19.0
22,San Luis Obispo,356.0,0.0,21.0,16.0,319.0,1384.0,441.0,920.0,23.0,california,10.0
23,San Mateo,298.0,1.0,57.0,64.0,176.0,2843.0,454.0,2089.0,300.0,california,9.0
24,Santa Barbara,265.0,4.0,49.0,32.0,180.0,1639.0,476.0,1146.0,17.0,california,7.0
25,Santa Clara,316.0,4.0,46.0,15.0,251.0,1312.0,260.0,826.0,226.0,california,5.0
26,Santa Cruz,285.0,1.0,36.0,44.0,204.0,2050.0,485.0,1533.0,32.0,california,14.0
27,Shasta,519.0,5.0,58.0,22.0,434.0,962.0,451.0,471.0,40.0,california,23.0
28,Solano,92.0,1.0,2.0,17.0,72.0,312.0,115.0,139.0,58.0,california,9.0
29,Sonoma,583.0,3.0,91.0,48.0,441.0,1450.0,494.0,937.0,19.0,california,12.0
30,Stanislaus,470.0,11.0,42.0,134.0,283.0,1821.0,726.0,1034.0,61.0,california,14.0
31,Sutter,88.0,1.0,7.0,6.0,74.0,618.0,235.0,329.0,54.0,california,2.0
32,Tulare3,350.0,19.0,28.0,62.0,241.0,2074.0,756.0,1318.0,0.0,california,1.0
33,Ventura,171.0,2.0,29.0,19.0,121.0,767.0,224.0,467.0,76.0,california,11.0
34,Yolo,56.0,0.0,8.0,7.0,41.0,248.0,69.0,158.0,21.0,california,4.0
35,Yuba,210.0,3.0,11.0,32.0,164.0,1086.0,335.0,744.0,7.0,california,18.0
36,Alpine,6.0,0.0,0.0,0.0,6.0,34.0,7.0,26.0,1.0,california,0.0
37,Amador,53.0,0.0,6.0,8.0,39.0,371.0,142.0,225.0,4.0,california,3.0
38,Calaveras,169.0,3.0,26.0,16.0,124.0,535.0,183.0,341.0,11.0,california,0.0
39,Colusa,31.0,0.0,2.0,6.0,23.0,186.0,78.0,108.0,0.0,california,0.0
40,Del Norte,115.0,0.0,30.0,11.0,74.0,355.0,251.0,96.0,8.0,california,7.0
41,Glenn,34.0,1.0,0.0,1.0,32.0,159.0,60.0,96.0,3.0,california,1.0
42,Humboldt,265.0,9.0,22.0,57.0,177.0,773.0,366.0,385.0,22.0,california,4.0
43,Inyo,85.0,0.0,7.0,5.0,73.0,158.0,67.0,84.0,7.0,california,1.0
44,Lake,179.0,2.0,17.0,15.0,145.0,635.0,337.0,283.0,15.0,california,11.0
45,Lassen,43.0,1.0,4.0,2.0,36.0,202.0,87.0,114.0,1.0,california,0.0
46,Mariposa,80.0,0.0,12.0,1.0,67.0,217.0,53.0,161.0,3.0,california,0.0
47,Mendocino,346.0,7.0,42.0,19.0,278.0,477.0,246.0,228.0,3.0,california,5.0
48,Modoc,19.0,1.0,3.0,0.0,15.0,44.0,9.0,35.0,0.0,california,0.0
49,Mono,16.0,1.0,2.0,1.0,12.0,51.0,20.0,31.0,0.0,california,0.0
50,Nevada,80.0,5.0,4.0,5.0,66.0,697.0,285.0,395.0,17.0,california,3.0
51,Plumas,120.0,2.0,10.0,6.0,102.0,335.0,120.0,207.0,8.0,california,1.0
52,Sierra,14.0,0.0,0.0,0.0,14.0,26.0,8.0,18.0,0.0,california,1.0
53,Siskiyou,52.0,2.0,5.0,2.0,43.0,225.0,118.0,102.0,5.0,california,1.0
54,Tehama,163.0,3.0,6.0,12.0,142.0,371.0,235.0,130.0,6.0,california,2.0
55,Trinity,65.0,3.0,3.0,6.0,53.0,234.0,101.0,133.0,0.0,california,0.0
56,Tuolumne,159.0,1.0,45.0,9.0,104.0,737.0,350.0,377.0,10.0,california,6.0
57,,,,,,,,,,,california,0.0
0,Alachua,519.0,1.0,62.0,75.0,381.0,2044.0,545.0,1377.0,122.0,florida,14.0
1,Baker,118.0,1.0,4.0,8.0,105.0,316.0,103.0,194.0,19.0,florida,0.0
2,Bay,375.0,4.0,40.0,41.0,290.0,2433.0,536.0,1716.0,181.0,florida,6.0
3,Brevard,756.0,6.0,42.0,101.0,607.0,4494.0,1038.0,3096.0,360.0,florida,19.0
4,Broward,380.0,3.0,20.0,92.0,265.0,768.0,160.0,529.0,79.0,florida,4.0
5,Charlotte,379.0,4.0,35.0,19.0,321.0,2456.0,408.0,1948.0,100.0,florida,5.0
6,Citrus,338.0,4.0,40.0,39.0,255.0,1979.0,426.0,1443.0,110.0,florida,8.0
7,Clay,450.0,3.0,87.0,81.0,279.0,3256.0,618.0,2475.0,163.0,florida,13.0
8,Collier,941.0,7.0,65.0,166.0,703.0,3994.0,742.0,3028.0,224.0,florida,16.0
9,Escambia,1614.0,12.0,153.0,308.0,1141.0,8129.0,1618.0,5958.0,553.0,florida,29.0
10,Flagler,221.0,0.0,16.0,29.0,176.0,1646.0,306.0,1255.0,85.0,florida,7.0
11,Gadsden,69.0,2.0,6.0,5.0,56.0,379.0,173.0,193.0,13.0,florida,2.0
12,Gulf,37.0,0.0,3.0,1.0,33.0,163.0,59.0,99.0,5.0,florida,2.0
13,Hernando,412.0,4.0,62.0,60.0,286.0,3113.0,620.0,2283.0,210.0,florida,18.0
14,Highlands,271.0,4.0,21.0,40.0,206.0,2066.0,548.0,1420.0,98.0,florida,10.0
15,Hillsborough,1926.0,27.0,173.0,352.0,1374.0,13758.0,2600.0,9972.0,1186.0,florida,75.0
16,Indian River,226.0,1.0,11.0,24.0,190.0,1782.0,390.0,1275.0,117.0,florida,1.0
17,Jefferson,87.0,0.0,10.0,2.0,75.0,152.0,65.0,72.0,15.0,florida,0.0
18,Lake,472.0,2.0,52.0,36.0,382.0,2686.0,711.0,1747.0,228.0,florida,12.0
19,Lee,1379.0,21.0,175.0,252.0,931.0,6196.0,1427.0,4336.0,433.0,florida,50.0
20,Leon,394.0,1.0,39.0,42.0,312.0,2397.0,670.0,1594.0,133.0,florida,12.0
21,Manatee,1349.0,18.0,120.0,169.0,1042.0,5491.0,1070.0,4086.0,335.0,florida,21.0
22,Marion,679.0,8.0,58.0,93.0,520.0,4403.0,1405.0,2529.0,469.0,florida,5.0
23,Martin,304.0,6.0,45.0,48.0,205.0,1909.0,323.0,1509.0,77.0,florida,8.0
24,Miami-Dade,6278.0,84.0,409.0,1537.0,4248.0,36318.0,4605.0,28416.0,3297.0,florida,25.0
25,Nassau,137.0,3.0,19.0,4.0,111.0,956.0,474.0,433.0,49.0,florida,4.0
26,Okaloosa,585.0,4.0,76.0,51.0,454.0,3057.0,525.0,2384.0,148.0,florida,4.0
27,Orange,5106.0,61.0,498.0,1159.0,3388.0,25493.0,6091.0,17208.0,2194.0,florida,0.0
28,Osceola,835.0,7.0,79.0,83.0,666.0,4671.0,1240.0,3173.0,258.0,florida,5.0
29,Palm Beach,2005.0,25.0,216.0,436.0,1328.0,13158.0,2968.0,9080.0,1110.0,florida,55.0
30,Pasco,1391.0,10.0,165.0,169.0,1047.0,8594.0,1786.0,6140.0,668.0,florida,41.0
31,Pinellas,727.0,5.0,111.0,149.0,462.0,5839.0,907.0,4511.0,421.0,florida,22.0
32,Polk,1374.0,14.0,139.0,135.0,1086.0,6506.0,1748.0,4124.0,634.0,florida,26.0
33,Santa Rosa,201.0,6.0,52.0,16.0,127.0,1571.0,349.0,1134.0,88.0,florida,6.0
34,Sarasota,494.0,5.0,31.0,68.0,390.0,4586.0,797.0,3598.0,191.0,florida,1.0
35,Seminole,637.0,6.0,81.0,55.0,495.0,3224.0,735.0,2350.0,139.0,florida,2.0
36,St. Johns,346.0,4.0,13.0,32.0,297.0,2896.0,602.0,2177.0,117.0,florida,4.0
37,St. Lucie,237.0,3.0,29.0,30.0,175.0,1659.0,369.0,1186.0,104.0,florida,9.0
38,Sumter,237.0,0.0,21.0,8.0,208.0,891.0,225.0,627.0,39.0,florida,1.0
39,Volusia,609.0,4.0,81.0,100.0,424.0,4088.0,922.0,2881.0,285.0,florida,15.0
40,Wakulla,52.0,1.0,3.0,4.0,44.0,504.0,134.0,350.0,20.0,florida,2.0
41,Walton,175.0,3.0,16.0,10.0,146.0,1311.0,333.0,901.0,77.0,florida,3.0
42,Bradford,75.0,1.0,4.0,1.0,69.0,211.0,96.0,102.0,13.0,florida,1.0
43,Calhoun,17.0,0.0,1.0,0.0,16.0,48.0,16.0,29.0,3.0,florida,0.0
44,Columbia,186.0,1.0,14.0,13.0,158.0,995.0,425.0,505.0,65.0,florida,0.0
45,DeSoto,99.0,1.0,12.0,8.0,78.0,622.0,167.0,411.0,44.0,florida,6.0
46,Dixie,80.0,1.0,13.0,1.0,65.0,329.0,128.0,191.0,10.0,florida,3.0
47,Franklin,17.0,0.0,1.0,0.0,16.0,85.0,20.0,61.0,4.0,florida,0.0
48,Glades,29.0,0.0,2.0,2.0,25.0,128.0,33.0,85.0,10.0,florida,0.0
49,Hamilton,26.0,0.0,3.0,1.0,22.0,169.0,58.0,99.0,12.0,florida,1.0
50,Hardee,50.0,0.0,8.0,6.0,36.0,333.0,105.0,209.0,19.0,florida,0.0
51,Hendry,118.0,5.0,13.0,22.0,78.0,675.0,281.0,371.0,23.0,florida,15.0
52,Holmes,64.0,0.0,6.0,6.0,52.0,241.0,86.0,137.0,18.0,florida,0.0
53,Jackson,94.0,0.0,16.0,6.0,72.0,681.0,167.0,474.0,40.0,florida,2.0
54,Lafayette,13.0,0.0,0.0,0.0,13.0,60.0,27.0,31.0,2.0,florida,1.0
55,Levy,403.0,1.0,8.0,2.0,392.0,461.0,139.0,294.0,28.0,florida,1.0
56,Liberty,2.0,1.0,0.0,0.0,1.0,7.0,1.0,4.0,2.0,florida,0.0
57,Madison,126.0,1.0,6.0,2.0,117.0,240.0,108.0,132.0,0.0,florida,2.0
58,Monroe,179.0,1.0,21.0,15.0,142.0,1061.0,205.0,807.0,49.0,florida,0.0
59,Okeechobee,132.0,5.0,18.0,10.0,99.0,953.0,204.0,680.0,69.0,florida,0.0
60,Putnam,265.0,4.0,33.0,28.0,200.0,1201.0,396.0,743.0,62.0,florida,11.0
61,Suwannee,155.0,3.0,11.0,8.0,133.0,404.0,123.0,243.0,38.0,florida,0.0
62,Taylor,182.0,2.0,9.0,1.0,170.0,267.0,116.0,135.0,16.0,florida,2.0
63,Union,37.0,2.0,0.0,2.0,33.0,60.0,25.0,34.0,1.0,florida,1.0
64,Washington,30.0,0.0,3.0,3.0,24.0,167.0,60.0,92.0,15.0,florida,1.0
0,Atlantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
1,Bergen,8.0,0.0,0.0,0.0,8.0,56.0,3.0,51.0,2.0,new-jersey,2.0
2,Burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
3,Camden,9.0,0.0,0.0,1.0,8.0,32.0,2.0,30.0,0.0,new-jersey,0.0
4,Camden County Police Department,1574.0,47.0,88.0,427.0,1012.0,2644.0,648.0,1492.0,504.0,new-jersey,94.0
5,Cape May,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,new-jersey,0.0
6,Cumberland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,new-jersey,0.0
7,Essex,95.0,1.0,0.0,46.0,48.0,79.0,19.0,59.0,1.0,new-jersey,0.0
8,Gloucester,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,new-jersey,0.0
9,Hudson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
10,Hunterdon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
11,Mercer,2.0,0.0,0.0,1.0,1.0,8.0,2.0,6.0,0.0,new-jersey,0.0
12,Middlesex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
13,Monmouth,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,new-jersey,0.0
14,Morris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
15,Ocean,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,new-jersey,0.0
16,Passaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
17,Salem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
18,Somerset,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,new-jersey,0.0
19,Sussex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
20,Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
21,Warren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-jersey,0.0
0,Benton,95.0,2.0,26.0,2.0,65.0,663.0,328.0,300.0,35.0,arkansas,3.0
1,Cleveland,10.0,0.0,2.0,1.0,7.0,71.0,30.0,38.0,3.0,arkansas,2.0
2,Craighead,46.0,1.0,17.0,0.0,28.0,343.0,102.0,205.0,36.0,arkansas,6.0
3,Crawford,89.0,2.0,14.0,0.0,73.0,422.0,99.0,268.0,55.0,arkansas,0.0
4,Crittenden,128.0,7.0,8.0,20.0,93.0,338.0,129.0,180.0,29.0,arkansas,2.0
5,Faulkner,122.0,1.0,27.0,3.0,91.0,1040.0,285.0,609.0,146.0,arkansas,10.0
6,Garland,357.0,0.0,47.0,20.0,290.0,1723.0,831.0,763.0,129.0,arkansas,0.0
7,Grant,47.0,0.0,4.0,0.0,43.0,206.0,65.0,123.0,18.0,arkansas,0.0
8,Jefferson,82.0,1.0,13.0,6.0,62.0,405.0,159.0,200.0,46.0,arkansas,6.0
9,Lincoln,16.0,0.0,1.0,0.0,15.0,76.0,29.0,38.0,9.0,arkansas,0.0
10,Little River,11.0,0.0,3.0,0.0,8.0,71.0,27.0,36.0,8.0,arkansas,0.0
11,Lonoke,104.0,1.0,13.0,8.0,82.0,456.0,87.0,274.0,95.0,arkansas,2.0
12,Madison,22.0,0.0,4.0,1.0,17.0,73.0,35.0,32.0,6.0,arkansas,2.0
13,Miller,27.0,1.0,11.0,1.0,14.0,315.0,118.0,159.0,38.0,arkansas,0.0
14,Perry,46.0,0.0,2.0,1.0,43.0,150.0,36.0,114.0,0.0,arkansas,0.0
15,Poinsett,6.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,arkansas,0.0
16,Pulaski,375.0,5.0,24.0,27.0,319.0,1831.0,411.0,1190.0,230.0,arkansas,9.0
17,Saline,158.0,2.0,28.0,4.0,124.0,837.0,255.0,467.0,115.0,arkansas,6.0
18,Sebastian,62.0,0.0,15.0,2.0,45.0,313.0,104.0,190.0,19.0,arkansas,5.0
19,Washington,188.0,3.0,18.0,0.0,167.0,564.0,185.0,329.0,50.0,arkansas,5.0
20,Arkansas,10.0,0.0,0.0,3.0,7.0,129.0,42.0,73.0,14.0,arkansas,2.0
21,Ashley,22.0,0.0,6.0,1.0,15.0,184.0,71.0,100.0,13.0,arkansas,1.0
22,Baxter,57.0,0.0,13.0,1.0,43.0,682.0,84.0,551.0,47.0,arkansas,2.0
23,Boone,179.0,0.0,36.0,2.0,141.0,310.0,97.0,184.0,29.0,arkansas,1.0
24,Bradley,8.0,0.0,2.0,0.0,6.0,29.0,24.0,2.0,3.0,arkansas,0.0
25,Calhoun,4.0,0.0,1.0,0.0,3.0,53.0,20.0,30.0,3.0,arkansas,1.0
26,Carroll,41.0,2.0,7.0,0.0,32.0,17.0,1.0,11.0,5.0,arkansas,1.0
27,Chicot,3.0,0.0,1.0,0.0,2.0,76.0,26.0,50.0,0.0,arkansas,0.0
